2024-05-23 22:20:51 eoracle-data-validator  | Starting data-validator 
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.307Z info: ~~~~~7.  ccdata~~~~~btc,eth,xrp,ada,fil,doge,sol,trx,dot,matic,ltc,xau,xag,eur,aud,jpy,gbp
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.310Z info: ~~~~~6.  bitfinex~~~~~btc,eth,xrp,ada,doge,sol,trx,dot,matic,ltc,avax,link,ton,icp,shib,uni,eos,leo,op,near,apt,neo,ldo,fil
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.312Z info: ~~~~~3.  kraken~~~~~btc,eth,xrp,ada,bnb,doge,sol,trx,dot,matic,ltc
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.313Z info: ~~~~~4.  houbi~~~~~btc,eth,xrp,ada,doge,sol,trx,dot,matic,ltc,usdt,avax,link,ton,icp,shib,bch,uni,eos,atom,leo,op,near,apt,neo,stx,kas,ldo,fil,xau,xag,eur,aud,jpy,gbp
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.314Z info: ~~~~~5.  coinbase~~~~~btc,eth,xrp,ada,doge,sol,dot,matic,ltc,usdt,avax,link,icp,shib,bch,uni,eos,atom,op,near,apt,stx,ldo,fil,xau,xag,eur,aud,jpy,gbp,cad,inr,krw,brl
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.316Z info: ~~~~~8.  ethereum~~~~~sFRAX,sfrxETH
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.332Z info: EO_CCDATA_API_KEY is not set in .env file, for ccdata feed support: please refer to our support team
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.335Z info: Starting quotes listener
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.341Z info: starting bitfinex feed
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.367Z info: starting kraken feed
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.381Z info: starting houbi feed
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.394Z info: starting coinbase feed
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.410Z info: Starting ethereum feed
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.414Z info: Finished initializing ethereum feed
2024-05-23 22:21:57 eoracle-data-validator  | JsonRpcProvider failed to detect network and cannot start up; retry in 1s (perhaps the URL is wrong or the node is not started)
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.646Z error: cannot connect to ethereum, endpoint https://some.ethereum.rpc returned error Error: failed to bootstrap network detection (event="initial-network-discovery", info={ "error": { "code": "ENOTFOUND", "errno": -3008, "hostname": "some.ethereum.rpc", "syscall": "getaddrinfo" } }, code=NETWORK_ERROR, version=6.12.1)
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.647Z info: restarting ethereum feed
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.648Z info: stopping ethereum feed
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.650Z info: Feed ethereum stopped
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.690Z error: cannot connect to kraken, endpoint wss://ws.kraken.com returned error Error: Client network socket disconnected before secure TLS connection was established
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.693Z info: restarting kraken feed
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.694Z info: stopping kraken feed
2024-05-23 22:21:57 eoracle-data-validator  | <1> 2024-05-23T16:51:57.696Z info: Feed kraken stopped
2024-05-23 22:21:58 eoracle-data-validator  | <1> 2024-05-23T16:51:58.570Z warn: bitfinex: op not supported
2024-05-23 22:21:58 eoracle-data-validator  | <1> 2024-05-23T16:51:58.790Z warn: coinbase: xau not supported
2024-05-23 22:21:58 eoracle-data-validator  | <1> 2024-05-23T16:51:58.810Z warn: coinbase: xag not supported
2024-05-23 22:21:58 eoracle-data-validator  | <1> 2024-05-23T16:51:58.829Z warn: coinbase: eur not supported
2024-05-23 22:21:58 eoracle-data-validator  | <1> 2024-05-23T16:51:58.849Z warn: coinbase: aud not supported
2024-05-23 22:21:58 eoracle-data-validator  | <1> 2024-05-23T16:51:58.874Z warn: coinbase: jpy not supported
2024-05-23 22:21:58 eoracle-data-validator  | <1> 2024-05-23T16:51:58.893Z warn: coinbase: gbp not supported
2024-05-23 22:21:58 eoracle-data-validator  | <1> 2024-05-23T16:51:58.916Z warn: coinbase: cad not supported
